DATE,AAA
2019-03-01,3.77
2019-04-01,3.69
2019-05-01,3.67
2019-06-01,3.42
2019-07-01,3.29
2019-08-01,2.98
2019-09-01,3.03
2019-10-01,3.01
2019-11-01,3.06
2019-12-01,3.01
2020-01-01,2.94
2020-02-01,2.78
2020-03-01,3.02
2020-04-01,2.43
2020-05-01,2.5
2020-06-01,2.44
2020-07-01,2.14
2020-08-01,2.25
2020-09-01,2.31
2020-10-01,2.35
2020-11-01,2.3
2020-12-01,2.26
2021-01-01,2.45
2021-02-01,2.7
2021-03-01,3.04
2021-04-01,2.9
2021-05-01,2.96
